"","ARO1","term1","ARO2","term2","n_unigenes","gene_class1","gene_class2"
"217","ARO:3002746","QnrB31","ARO:3004636","qnrE1",6,"qnr","qnr"
"218","ARO:3007801","RATA-1","ARO:3007802","RATA-2",6,"class A beta-lactamase","class A beta-lactamase"
"219","ARO:3004091","aadA27","ARO:3004682","ANT(3'')-IIc",6,"ant","ant"
"220","ARO:3005111","blaS1","ARO:3008784","OXY-10-1",6,"class A beta-lactamase","class A beta-lactamase"
"221","ARO:3003559","cepA","ARO:3006224","CepA-29",6,"class A beta-lactamase","class A beta-lactamase"
"222","ARO:3000596","erm(46)","ARO:3004596","ErmX",6,"erm","erm"
"223","ARO:3000810","mtrC","ARO:0010004","resistance-nodulation-cell division (RND) antibiotic efflux pump",6,"efflux pump","efflux pump"
"224","ARO:3003196","tet(45)","ARO:3000179","tet(L)",6,"MFS efflux pump","MFS efflux pump"
"225","ARO:3002945","vanH gene in vanF cluster","ARO:3002948","vanH gene in vanO cluster",6,"van","van"
"226","ARO:3002549","AAC(6')-Ic","ARO:3002563","AAC(6')-Isa",5,"aac","aac"
"227","ARO:3002553","AAC(6')-If","ARO:3004635","AAC(6')-Il",5,"aac","aac"
"228","ARO:3007442","ASU1-1","ARO:3008074","SSA",5,"class A beta-lactamase","class A beta-lactamase"
"229","ARO:3004455","Alkalihalobacillus clausii chloramphenicol acetyltransferase","ARO:3004452","Streptococcus suis chloramphenicol acetyltransferase",5,"cat","cat"
"230","ARO:3008079","B3SU2-1","ARO:3000856","BJP-1",5,"class B beta-lactamase","class B beta-lactamase"
"231","ARO:3005096","BKC-1","ARO:3004757","GPC-1",5,"class A beta-lactamase","class A beta-lactamase"
"232","ARO:3001205","BLMT","ARO:3005036","BRP(MBL)",5,"antibiotic sequestration","antibiotic sequestration"
"233","ARO:3008082","BOR-1","ARO:3008199","HBL-1",5,"class A beta-lactamase","class A beta-lactamase"
"234","ARO:3002878","BcII","ARO:3004189","Bla2",5,"class B beta-lactamase","class B beta-lactamase"
"235","ARO:3009009","CAE-1","ARO:3007635","PEN-A30",5,"class A beta-lactamase","class A beta-lactamase"
"236","ARO:3008084","CME-1","ARO:3004775","CME-3",5,"class A beta-lactamase","class A beta-lactamase"
"237","ARO:3004290","EC-14","ARO:3006875","Escherichia coli ampC beta-lactamase",5,"class C beta-lactamase","class C beta-lactamase"
"238","ARO:3004290","EC-8","ARO:3006881","Escherichia coli ampC beta-lactamase",5,"class C beta-lactamase","class C beta-lactamase"
"239","ARO:3001306","Erm(31)","ARO:3000598","ErmW",5,"erm","erm"
"240","ARO:3000495","Erm(K)","ARO:3004643","ErmD",5,"erm","erm"
"241","ARO:3004652","Erm(O)-lrm","ARO:3001304","ErmS",5,"erm","erm"
"242","ARO:3001303","ErmO-srmA","ARO:3001304","ErmS",5,"erm","erm"
"243","ARO:3004043","Escherichia coli acrA","ARO:0010004","resistance-nodulation-cell division (RND) antibiotic efflux pump",5,"efflux pump","efflux pump"
"244","ARO:3004290","Escherichia coli ampC beta-lactamase","ARO:3007648","PSZ-1",5,"class C beta-lactamase","class C beta-lactamase"
"245","ARO:3007372","FosB4","ARO:3004671","FosBx1",5,"fos","fos"
"246","ARO:3007372","FosBx1","ARO:3007098","FosM2",5,"fos","fos"
"247","ARO:3000198","FosH","ARO:3007369","FosX",5,"fos","fos"
"248","ARO:3005678","GOB-29","ARO:3006972","PLN-1",5,"class B beta-lactamase","class B beta-lactamase"
"249","ARO:3002482","LRA-1","ARO:3009007","PEN-A29",5,"class A beta-lactamase","class A beta-lactamase"
"250","ARO:3002482","LRA-1","ARO:3009009","PEN-A30",5,"class A beta-lactamase","class A beta-lactamase"
"251","ARO:3002513","LRA-19","ARO:3002510","LRA-3",5,"class B beta-lactamase","class B beta-lactamase"
"252","ARO:3007802","LUS-1","ARO:3006942","RATA-2",5,"class A beta-lactamase","class A beta-lactamase"
"253","ARO:3001407","OXA-12","ARO:3003115","OXA-427",5,"class D beta-lactamase","class D beta-lactamase"
"254","ARO:3001772","OXA-572","ARO:3005794","OXA-59",5,"class D beta-lactamase","class D beta-lactamase"
"255","ARO:3009041","PDC-455","ARO:3006822","RSC1-1",5,"class C beta-lactamase","class C beta-lactamase"
"256","ARO:3009041","PNC-2","ARO:3009033","RSC1-1",5,"class C beta-lactamase","class C beta-lactamase"
"257","ARO:3007489","dfrB10","ARO:3003022","dfrB3",5,"dfr","dfr"
"258","ARO:3000300","lsaA","ARO:3005121","lsaD",5,"abcF","abcF"
"259","ARO:3003111","lsaB","ARO:3003206","lsaE",5,"abcF","abcF"
"260","ARO:3007109","nimG","ARO:3007110","nimH",5,"nim","nim"
"261","ARO:3002893","sdrM","ARO:3007013","tcr3",5,"MFS efflux pump","MFS efflux pump"
"262","ARO:3000569","tet(41)","ARO:3000165","tet(A)",5,"MFS efflux pump","MFS efflux pump"
"263","ARO:3000165","tet(A)","ARO:3000167","tet(C)",5,"MFS efflux pump","MFS efflux pump"
"264","ARO:3007120","tet(O)","ARO:3000190","tet(O/M/O)",5,"tet RPG","tet RPG"
"265","ARO:3004720","tet(X4)","ARO:3005056","tet(X6)",5,"tet enzyme","tet enzyme"
