"gene","aro"
"AAC(6')-Iid","ARO:3002589"
"QnrS2","ARO:3002791"
"TEM-94","ARO:3000961"
"aadA14","ARO:3002614"
"CMY-59","ARO:3002069"
"emrB","ARO:3000074"
"FomB","ARO:3000449"
"rmtF","ARO:3002666"
"OXA-20","ARO:3001415"
"linG","ARO:3002879"
"SRT-2","ARO:3002494"
"AAC(3)-IIIa","ARO:3002536"
"adeN","ARO:3000559"
"OXA-72","ARO:3001705"
"MIR-10","ARO:3002175"
"AAC(6')-Iih","ARO:3002590"
"OXA-114a","ARO:3001609"
"CfxA3","ARO:3003003"
"mdtE","ARO:3000795"
"AAC(6')-Iak","ARO:3003199"
"dfrK","ARO:3002869"
"spd","ARO:3002631"
"EreB","ARO:3000363"
"marA","ARO:3000263"
"APH(3'')-Ia","ARO:3002638"
"vanM","ARO:3002911"
"lnuD","ARO:3002838"
"mtrD","ARO:3000811"
"AAC(6')-Ix","ARO:3002568"
"MexB","ARO:3000378"
"tet(30)","ARO:3000561"
"tet(38)","ARO:3000565"
"tet(A)","ARO:3000165"
"tet(Z)","ARO:3000183"
"arr-1","ARO:3002846"
"OXA-1","ARO:3001396"
"OXA-29","ARO:3001424"
"vanY_gene_in_vanF_cluster","ARO:3002958"
"vanS_gene_in_vanA_cluster","ARO:3002931"
"smeB","ARO:3003052"
"blt","ARO:3003006"
"AAC(6')-Ik","ARO:3002558"
"FosA4","ARO:3003210"
"vanA","ARO:3000010"
"CMY-82","ARO:3002095"
"dfrA1","ARO:3002854"
"AAC(6')-Iz","ARO:3002570"
"tlrC","ARO:3002827"
"IMP-27","ARO:3002218"
"aadA6","ARO:3002606"
"Erm(41)","ARO:3000603"
"CTX-M-37","ARO:3001899"
"OXA-213","ARO:3001712"
"dfrA15","ARO:3003013"
"APH(3'')-Ic","ARO:3002640"
"dfrA7","ARO:3002862"
"msrC","ARO:3002819"
"LRA-3","ARO:3002510"
"mdtO","ARO:3003549"
"mphC","ARO:3000319"
"blaR1","ARO:3000217"
"AAC(6')-Ib8","ARO:3002579"
"NmcR","ARO:3003665"
"sgm","ARO:3000862"
"patA","ARO:3000024"
"aadA13","ARO:3002613"
"patB","ARO:3000025"
"APH(3')-IIa","ARO:3002644"
"AAC(6')-Ib7","ARO:3002578"
"opcM","ARO:3003037"
"OXA-287","ARO:3001742"
"gimA","ARO:3000463"
"pmrA","ARO:3000822"
"tet(33)","ARO:3000478"
"tet(35)","ARO:3000481"
"Bacillus_pumilus_cat86","ARO:3002672"
"BJP-1","ARO:3000856"
"PmrF","ARO:3003578"
"vanX_gene_in_vanM_cluster","ARO:3002953"
"otr(C)","ARO:3002894"
"tet(O)","ARO:3000190"
"tet(T)","ARO:3000193"
"LnuP","ARO:3004601"
"Bacillus_subtilis_mprF","ARO:3003324"
"TriA","ARO:3003679"
"TriB","ARO:3003680"
"TriC","ARO:3003681"
"OpmH","ARO:3003682"
"mexP","ARO:3003698"
"mexQ","ARO:3003699"
"MexJ","ARO:3003692"
"MexK","ARO:3003693"
"MexV","ARO:3003030"
"MexW","ARO:3003031"
"opmE","ARO:3003700"
"mexM","ARO:3003704"
"mexN","ARO:3003705"
"PEDO-1","ARO:3003670"
"PEDO-2","ARO:3003714"
"CPS-1","ARO:3003716"
"ESP-1","ARO:3003717"
"MSI-OXA","ARO:3003719"
"OXA-288","ARO:3001743"
"vanJ","ARO:3002914"
"fusD","ARO:3003731"
"mphG","ARO:3003742"
"vanI","ARO:3003723"
"vatF","ARO:3003744"
"lnuE","ARO:3003762"
"oleC","ARO:3003748"
"salA","ARO:3003749"
"RlmA(II)","ARO:3001301"
"vanS_gene_in_vanD_cluster","ARO:3002934"
"Listeria_monocytogenes_mprF","ARO:3003770"
"Brucella_suis_mprF","ARO:3003772"
"Clostridium_perfringens_mprF","ARO:3003773"
"Streptococcus_agalactiae_mprF","ARO:3003774"
"mphM","ARO:3003767"
"vanR_gene_in_vanI_cluster","ARO:3003728"
"vanX_gene_in_vanI_cluster","ARO:3003725"
"fusC","ARO:3003733"
"optrA","ARO:3003746"
"SPM-1","ARO:3003793"
"AAC(3)-IIe","ARO:3004621"
"gadW","ARO:3003838"
"cdeA","ARO:3003835"
"FAR-1","ARO:3004784"
"TLA-3","ARO:3003204"
"MOX-9","ARO:3002191"
"AAC(6')-Ian","ARO:3003200"
"kdpE","ARO:3003841"
"AAC(3)-IId","ARO:3004623"
"Erm(49)","ARO:3004626"
"AAC(6')-Im","ARO:3004629"
"AAC(6')-Il","ARO:3004635"
"qnrE1","ARO:3004636"
"Corynebacterium_striatum_tetA","ARO:3004639"
"Erm(K)","ARO:3004643"
"dfrA6_from_Proteus_mirabilis","ARO:3004644"
"dfrI","ARO:3004645"
"AQU-2","ARO:3004647"
"cfr(B)","ARO:3004649"
"ADC-8","ARO:3003854"
"ANT(4')-Ib","ARO:3003905"
"Erm(47)","ARO:3003908"
"AQU-3","ARO:3004648"
"LEN-17","ARO:3002473"
"oqxA","ARO:3003922"
"oqxB","ARO:3003923"
"OXA-291","ARO:3001746"
"apmA","ARO:3003918"
"cipA","ARO:3003907"
"FIM-1","ARO:3004786"
"FPH-1","ARO:3004795"
"Erm(O)-lrm","ARO:3004652"
"efrA","ARO:3003948"
"efrB","ARO:3003949"
"msbA","ARO:3003950"
"hmrM","ARO:3003953"
"efmA","ARO:3003954"
"efpA","ARO:3003955"
"farA","ARO:3003961"
"farB","ARO:3003962"
"hp1181","ARO:3003964"
"lmrP","ARO:3003969"
"lfrA","ARO:3003967"
"catII_from_Escherichia_coli_K-12","ARO:3004656"
"catA4","ARO:3004657"
"catA8","ARO:3004658"
"Mef(En2)","ARO:3004659"
"catB11","ARO:3004660"
"lin","ARO:3004651"
"Staphylococcus_aureus_FosB","ARO:3004661"
"FusF","ARO:3004663"
"Staphylococcus_aureus_norA","ARO:3004667"
"AAC(2')-IIa","ARO:3004628"
"OXA-296","ARO:3001751"
"emtA","ARO:3004669"
"aphA15","ARO:3004675"
"sta","ARO:3004699"
"OXA-293","ARO:3001748"
"FosB6","ARO:3004673"
"rmtD2","ARO:3004677"
"APH(3')-VIIIa","ARO:3004680"
"LlmA_23S_ribosomal_RNA_methyltransferase","ARO:3003982"
"CatU","ARO:3003983"
"BahA","ARO:3003984"
"TaeA","ARO:3003986"
"VatI","ARO:3003987"
"AAC(2')-IIb","ARO:3003988"
"AAC(6')-34","ARO:3003989"
"mphI","ARO:3003991"
"rphB","ARO:3003992"
"cpaA","ARO:3003994"
"aadS","ARO:3004683"
"aadA27","ARO:3004682"
"MuxA","ARO:3004073"
"tetA(58)","ARO:3003980"
"vgbC","ARO:3003990"
"MCR-9.1","ARO:3004684"
"aadA8b","ARO:3004704"
"vga(E)_Staphylococcus_cohnii","ARO:3004715"
"FosD","ARO:3004674"
"rmtE","ARO:3004678"
"tva(A)","ARO:3004730"
"OXA-443","ARO:3003599"
"MCR-4.3","ARO:3004695"
"OXA-444","ARO:3003600"
"FONA-4","ARO:3004791"
"FTU-1","ARO:3004801"
"mgtA","ARO:3000462"
"Pseudomonas_aeruginosa_CpxR","ARO:3004054"
"tetB(60)","ARO:3004036"
"tetA(46)","ARO:3004032"
"tetB(46)","ARO:3004033"
"tetA(60)","ARO:3004035"
"floR","ARO:3002705"
"OpmB","ARO:3004072"
"SFH-1","ARO:3000849"
"adeL","ARO:3000620"
"Pseudomonas_aeruginosa_emrE","ARO:3004038"
"Escherichia_coli_emrE","ARO:3004039"
"Klebsiella_pneumoniae_acrA","ARO:3004041"
"Enterobacter_cloacae_acrA","ARO:3004042"
"Escherichia_coli_acrA","ARO:3004043"
"OXA-299","ARO:3001754"
"OXA-447","ARO:3003603"
"bcr-1","ARO:3003801"
"ADC-18","ARO:3003862"
"mphL","ARO:3003072"
"ArmR","ARO:3004056"
"EdeQ","ARO:3004063"
"GOB-13","ARO:3004805"
"tet(L)","ARO:3000179"
"basS","ARO:3003583"
"Chlamydia_trachomatis_intrinsic_murA_conferring_resistance_to_fosfomycin","ARO:3003785"
"MexF","ARO:3000804"
"OprM","ARO:3000379"
"BRP(MBL)","ARO:3001205"
"ANT(3'')-IIc","ARO:3004091"
"ADC-20","ARO:3003864"
"MuxB","ARO:3004074"
"OXA-266","ARO:3001722"
"MuxC","ARO:3004075"
"BCL-1","ARO:3004749"
"BRO-1","ARO:3004761"
"PmpM","ARO:3004077"
"APH(3')-VIIIb","ARO:3004086"
"lnuG","ARO:3004085"
"ANT(3'')-IIa","ARO:3004089"
"ANT(3'')-IIb","ARO:3004090"
"LpeA","ARO:3004099"
"LpeB","ARO:3004100"
"kamB","ARO:3004102"
"QepA2","ARO:3004103"
"OXA-302","ARO:3001757"
"TMB-1","ARO:3004105"
"Pseudomonas_aeruginosa_soxR","ARO:3004107"
"FosA6","ARO:3004111"
"FosA7","ARO:3004113"
"OXA-455","ARO:3003611"
"Burkholderia_pseudomallei_Omp38","ARO:3004123"
"ARL-2","ARO:3004735"
"BAT-1","ARO:3004747"
"OprZ","ARO:3004142"
"AxyX","ARO:3004143"
"AxyY","ARO:3004144"
"cfrC","ARO:3004146"
"mecD","ARO:3004185"
"Escherichia_coli_mdfA","ARO:3001328"
"AAC(2')-Ie","ARO:3002527"
"Bla2","ARO:3004189"
"APH(2'')-If","ARO:3004191"
"NPS-1","ARO:3004239"
"Vibrio_cholerae_varG","ARO:3004289"
"LAP-2","ARO:3004826"
"Rhodobacter_sphaeroides_ampC_beta-lactamase","ARO:3004291"
"rpoB2","ARO:3000501"
"ADC-13","ARO:3003857"
"ADC-43","ARO:3003874"
"catV","ARO:3004357"
"ACI-1","ARO:3004359"
"sul4","ARO:3004361"
"ADC-194","ARO:3006363"
"OXA-535","ARO:3004362"
"almG","ARO:3004364"
"QepA4","ARO:3004379"
"tet(59)","ARO:3004441"
"tet(W/N/W)","ARO:3004442"
"OXA-269","ARO:3001725"
"TRU-1","ARO:3004450"
"Agrobacterium_fabrum_chloramphenicol_acetyltransferase","ARO:3004451"
"Campylobacter_coli_chloramphenicol_acetyltransferase","ARO:3004454"
